id	title	price_pc	link	mobile_link	image_link	shipping	category_name1	naver_category
OB20SSSTOT06804001	오베이 EASY RELAXED SHORT	49800	https://www.worksout.co.kr/product/81556	https://www.worksout.co.kr/product/81556	https://media.worksout.co.kr/resized/live/OB20SSSTOT06804001/OB20SSSTOT06804001-1.JPG	3000	패션의류	50000836
OB20SSSTOT06805001	오베이 EASY RELAXED SHORT	49800	https://www.worksout.co.kr/product/81555	https://www.worksout.co.kr/product/81555	https://media.worksout.co.kr/resized/live/OB20SSSTOT06805001/OB20SSSTOT06805001-1.JPG	3000	패션의류	50000836
OB20SSSWHO00321001	오베이 OBEY EXCLAMATION POINT	58800	https://www.worksout.co.kr/product/81531	https://www.worksout.co.kr/product/81531	https://media.worksout.co.kr/resized/live/OB20SSSWHO00321001/OB20SSSWHO00321001-1.jpg	3000	패션의류	50000830
OB20SSSWHO06332001	오베이 OBEY EYES ICON	64800	https://www.worksout.co.kr/product/81520	https://www.worksout.co.kr/product/81520	https://media.worksout.co.kr/resized/live/OB20SSSWHO06332001/OB20SSSWHO06332001-1.jpg	3000	패션의류	50000830
OB20SSSWHO06414001	오베이 OBEY EYES ICON	64800	https://www.worksout.co.kr/product/81519	https://www.worksout.co.kr/product/81519	https://media.worksout.co.kr/resized/live/OB20SSSWHO06414001/OB20SSSWHO06414001-1.jpg	3000	패션의류	50000830
OB20SSTSLS00610001	오베이 SONIC L/S CREW	40800	https://www.worksout.co.kr/product/81503	https://www.worksout.co.kr/product/81503	https://media.worksout.co.kr/resized/live/OB20SSTSLS00610001/OB20SSTSLS00610001-1.jpg	3000	패션의류	50000803
OB20SSTSLS03962001	오베이 SONIC L/S CREW	40800	https://www.worksout.co.kr/product/81497	https://www.worksout.co.kr/product/81497	https://media.worksout.co.kr/resized/live/OB20SSTSLS03962001/OB20SSTSLS03962001-1.jpg	3000	패션의류	50000803
OB20SSTSSS00002018	오베이 OBEY MINTAL AWARENESS	22800	https://www.worksout.co.kr/product/81454	https://www.worksout.co.kr/product/81454	https://media.worksout.co.kr/resized/live/OB20SSTSSS00002018/OB20SSTSSS00002018-1.jpg	3000	패션의류	50000830
OB20SSTSSS00040029	오베이 SQUEEZE OUT HATRED	28800	https://www.worksout.co.kr/product/81379	https://www.worksout.co.kr/product/81379	https://media.worksout.co.kr/resized/live/OB20SSTSSS00040029/OB20SSTSSS00040029-1.jpg	3000	패션의류	50000830
OB20SSTSSS00794002	오베이 OBEY EYES ICON 2	28800	https://www.worksout.co.kr/product/81315	https://www.worksout.co.kr/product/81315	https://media.worksout.co.kr/resized/live/OB20SSTSSS00794002/OB20SSTSSS00794002-1.jpg	3000	패션의류	50000830
OB20SSTSSS00794003	오베이 SQUEEZE OUT HATRED	28800	https://www.worksout.co.kr/product/81314	https://www.worksout.co.kr/product/81314	https://media.worksout.co.kr/resized/live/OB20SSTSSS00794003/OB20SSTSSS00794003-1.jpg	3000	패션의류	50000830
OB20SSTSSS06332001	오베이 SPEAK UP	34800	https://www.worksout.co.kr/product/81269	https://www.worksout.co.kr/product/81269	https://media.worksout.co.kr/resized/live/OB20SSTSSS06332001/OB20SSTSSS06332001-1.jpg	3000	패션의류	50000830
OB20SSTSSS06332002	오베이 CHERUB	34800	https://www.worksout.co.kr/product/81268	https://www.worksout.co.kr/product/81268	https://media.worksout.co.kr/resized/live/OB20SSTSSS06332002/OB20SSTSSS06332002-1.jpg	3000	패션의류	50000830
OB20SSTSSS06332004	오베이 GIVE PEACE A CHANCE	34800	https://www.worksout.co.kr/product/81266	https://www.worksout.co.kr/product/81266	https://media.worksout.co.kr/resized/live/OB20SSTSSS06332004/OB20SSTSSS06332004-1.jpg	3000	패션의류	50000803
OB20SSTSSS06332005	오베이 OBEY WORLDWIDE FAMILY	34800	https://www.worksout.co.kr/product/81265	https://www.worksout.co.kr/product/81265	https://media.worksout.co.kr/resized/live/OB20SSTSSS06332005/OB20SSTSSS06332005-1.jpg	3000	패션의류	50000830
OB20SSTSSS06813006	오베이 OBEY DEVIANT DEVICE	28800	https://www.worksout.co.kr/product/81250	https://www.worksout.co.kr/product/81250	https://media.worksout.co.kr/resized/live/OB20SSTSSS06813006/OB20SSTSSS06813006-1.jpg	3000	패션의류	50000830
OB20SSTSTO05720001	오베이 GAZER AVA TANK	28800	https://www.worksout.co.kr/product/81217	https://www.worksout.co.kr/product/81217	https://media.worksout.co.kr/resized/live/OB20SSTSTO05720001/OB20SSTSTO05720001-1.jpg	3000	패션의류	50000803
OB21FWBABS00339001	오베이 WASTED HIP BAG	22800	https://www.worksout.co.kr/product/81176	https://www.worksout.co.kr/product/81176	https://media.worksout.co.kr/resized/live/OB21FWBABS00339001/OB21FWBABS00339001-1.jpg	3000	패션잡화	50000652
OB21FWHESC00002007	오베이 SERGE 6 PANEL STRAPBACK	25800	https://www.worksout.co.kr/product/81110	https://www.worksout.co.kr/product/81110	https://media.worksout.co.kr/resized/live/OB21FWHESC00002007/OB21FWHESC00002007-1.jpg	3000	패션잡화	50003990
OB21FWHESC00002010	오베이 OBEY STRANGE DAYS 6 PANEL SNAP	25800	https://www.worksout.co.kr/product/81107	https://www.worksout.co.kr/product/81107	https://media.worksout.co.kr/resized/live/OB21FWHESC00002010/OB21FWHESC00002010-1.jpg	3000	패션잡화	50003990
OB21FWHESC00002011	오베이 OBEY DISCO DEVIL	25800	https://www.worksout.co.kr/product/81106	https://www.worksout.co.kr/product/81106	https://media.worksout.co.kr/resized/live/OB21FWHESC00002011/OB21FWHESC00002011-1.jpg	3000	패션잡화	50003990
OB21FWHESC01079003	오베이 OBEY DISCO DEVIL	25800	https://www.worksout.co.kr/product/81097	https://www.worksout.co.kr/product/81097	https://media.worksout.co.kr/resized/live/OB21FWHESC01079003/OB21FWHESC01079003-1.jpg	3000	패션잡화	50003990
OB21FWHESC02074001	오베이 OBEY STRANGE DAYS 6 PANEL SNAP	25800	https://www.worksout.co.kr/product/81091	https://www.worksout.co.kr/product/81091	https://media.worksout.co.kr/resized/live/OB21FWHESC02074001/OB21FWHESC02074001-1.jpg	3000	패션잡화	50003990
OB21FWHESC02092001	오베이 OBEY UNITY 6 PANEL SNAPBACK	25800	https://www.worksout.co.kr/product/81090	https://www.worksout.co.kr/product/81090	https://media.worksout.co.kr/resized/live/OB21FWHESC02092001/OB21FWHESC02092001-1.jpg	3000	패션잡화	50003990
OB21FWHESC05760001	오베이 OBEY UNITY 6 PANEL SNAPBACK	25800	https://www.worksout.co.kr/product/81083	https://www.worksout.co.kr/product/81083	https://media.worksout.co.kr/resized/live/OB21FWHESC05760001/OB21FWHESC05760001-1.jpg	3000	패션잡화	50003990
OB21FWJAHS02073001	오베이 SIGNS PUFFER JACKET	265000	https://www.worksout.co.kr/product/81074	https://www.worksout.co.kr/product/81074	https://media.worksout.co.kr/resized/live/OB21FWJAHS02073001/OB21FWJAHS02073001-1.jpg	0	패션의류	50000838
OB21FWJAHS02076001	오베이 ADAMSON REVERSIBLE JACKET	265000	https://www.worksout.co.kr/product/81073	https://www.worksout.co.kr/product/81073	https://media.worksout.co.kr/resized/live/OB21FWJAHS02076001/OB21FWJAHS02076001-1.jpg	0	패션의류	50000838
